Larceny,Vandalism,Homicide,Drug abuse,Assault,Survey_id
3,5,10,7,8,349
2,3,10,1,8,425
5,7,9,4,8,552
7,8,10,6,10,507
6,2,10,4,8,446
10,8,10,10,10,683
6,7,8,7,9,117
8,9,10,8,10,519
5,3,10,1,8,254
6,6,10,8,8,177
8,7,10,10,8,211
5,4,10,3,8,585
5,4,10,6,7,623
8,9,10,9,7,201
8,8,10,7,9,761
5,6,10,7,9,451
9,9,10,9,10,234
5,8,10,4,7,912
9,9,10,7,10,875
6,8,10,7,9,735
7,6,10,8,9,282
3,3,6,1,4,220
6,7,3,5,6,772
7,3,10,1,6,751
9,9,10,9,10,345
8,5,10,7,10,434
7,9,10,10,10,259
2,1,10,1,10,471
2,1,4,5,3,853
6,10,10,9,10,603
7,5,10,5,9,286
9,9,10,10,10,933
5,5,10,6,8,115
8,9,10,7,9,932
6,5,4,9,9,355
3,4,9,8,7,245
5,6,9,4,8,402
6,7,10,8,9,846
4,8,10,7,10,158
10,10,10,5,7,469
8,9,10,10,10,426
6,6,9,5,8,219
7,8,9,10,9,186
10,9,9,7,10,698
7,9,10,9,9,370
6,2,10,3,8,737
5,5,10,10,10,743
7,8,4,8,8,612
8,4,10,5,9,239
8,8,10,7,9,818
7,6,10,5,9,184
6,9,10,8,9,324
6,6,10,6,8,535
8,10,10,9,10,587
8,9,10,9,9,845
8,6,10,9,10,457
5,5,5,5,5,293
5,4,10,6,5,995
3,2,10,7,10,312
6,7,10,9,9,652
8,8,10,10,10,214
6,5,10,3,9,384
7,8,10,9,9,406
8,8,10,7,9,419
8,9,10,8,10,979
4,6,10,7,9,410
7,6,10,8,10,526
2,8,5,7,7,330
2,6,10,8,9,593
5,2,10,2,7,858
8,7,10,10,10,860
3,7,9,6,9,654
6,8,10,5,7,512
4,2,10,5,5,465
9,8,10,8,9,969
8,7,10,7,10,112
10,2,10,10,10,368
4,2,10,10,10,680
1,2,10,4,8,874
7,6,10,9,9,116
5,6,10,9,8,482
8,7,10,9,10,408
3,2,7,1,5,898
5,6,10,5,8,756
8,4,10,4,8,271
8,3,10,5,10,297
7,7,10,6,8,653
3,5,9,7,10,985
7,6,10,8,9,952
10,8,10,9,10,123
7,5,10,7,7,752
7,8,10,8,9,661
6,6,10,8,10,388
8,3,10,5,10,401
5,7,2,8,7,424
6,5,10,5,9,274
7,6,10,7,8,489
8,7,9,7,8,668
9,10,10,10,10,616
8,8,10,6,9,581
5,7,10,2,9,983
10,10,10,10,10,511
5,3,10,1,8,629
7,8,10,9,10,810
8,5,10,7,9,430
7,5,10,1,8,725
8,8,10,9,10,651
4,4,10,6,9,403
2,5,3,6,1,802
10,10,10,10,10,502
5,5,10,8,8,230
5,7,10,8,9,787
5,6,10,8,10,559
4,6,9,6,7,436
8,7,10,10,10,647
7,7,10,6,8,196
6,5,10,7,8,235
6,7,10,6,9,825
7,6,10,4,9,264
6,6,10,8,8,224
8,7,9,6,10,920
6,5,10,7,8,574
6,3,10,7,9,283
8,6,7,9,10,520
5,9,10,8,5,749
6,6,10,3,7,142
9,9,10,10,10,974
7,6,10,8,7,281
7,10,10,9,7,328
1,1,10,7,6,391
6,7,9,5,9,868
